From,Entry,Entry Name,Domain [FT],Organism,Protein families,Gene Names
1bkx,P05132,KAPCA_MOUSE,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Mus musculus (Mouse),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",Prkaca Pkaca
1bl6,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1bl7,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1bmk,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1buh,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1buh,P61024,CKS1_HUMAN,,Homo sapiens (Human),CKS family,CKS1B CKS1 PNAS-143 PNAS-16
1bx6,P05132,KAPCA_MOUSE,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Mus musculus (Mouse),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",Prkaca Pkaca
1cja,P80197,AFK_PHYPO,,Physarum polycephalum (Slime mold),"Protein kinase superfamily, AFK protein kinase family",
1cki,Q06486,KC1D_RAT,"DOMAIN 9..277; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Rattus norvegicus (Rat),"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",Csnk1d Hckid
1ckj,Q06486,KC1D_RAT,"DOMAIN 9..277; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Rattus norvegicus (Rat),"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",Csnk1d Hckid
1ckp,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1cm8,P53778,MK12_HUMAN,"DOMAIN 27..311; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK12 ERK6 SAPK3
1daw,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1day,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1di8,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1di9,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1dm2,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1ds5,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1ds5,P67870,CSK2B_HUMAN,,Homo sapiens (Human),Casein kinase 2 subunit beta family,CSNK2B CK2N G5A
1e1v,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1e1x,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1e7v,O02697,PK3CG_PIG,"DOMAIN 34..141; /note=""PI3K-ABD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00877""; DOMAIN 217..309; /note=""PI3K-RBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00879""; DOMAIN 357..521; /note=""C2 PI3K-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00880""; DOMAIN 541..723; /note=""PIK helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00878""; DOMAIN 797..1080; /note=""PI3K/PI4K catalytic""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00269""",Sus scrofa (Pig),PI3/PI4-kinase family,PIK3CG
1e8w,O02697,PK3CG_PIG,"DOMAIN 34..141; /note=""PI3K-ABD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00877""; DOMAIN 217..309; /note=""PI3K-RBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00879""; DOMAIN 357..521; /note=""C2 PI3K-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00880""; DOMAIN 541..723; /note=""PIK helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00878""; DOMAIN 797..1080; /note=""PI3K/PI4K catalytic""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00269""",Sus scrofa (Pig),PI3/PI4-kinase family,PIK3CG
1e8x,O02697,PK3CG_PIG,"DOMAIN 34..141; /note=""PI3K-ABD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00877""; DOMAIN 217..309; /note=""PI3K-RBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00879""; DOMAIN 357..521; /note=""C2 PI3K-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00880""; DOMAIN 541..723; /note=""PIK helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00878""; DOMAIN 797..1080; /note=""PI3K/PI4K catalytic""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00269""",Sus scrofa (Pig),PI3/PI4-kinase family,PIK3CG
1e8z,P48736,PK3CG_HUMAN,"DOMAIN 34..141; /note=""PI3K-ABD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00877""; DOMAIN 217..309; /note=""PI3K-RBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00879""; DOMAIN 357..521; /note=""C2 PI3K-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00880""; DOMAIN 541..723; /note=""PIK helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00878""; DOMAIN 797..1080; /note=""PI3K/PI4K catalytic""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00269""",Homo sapiens (Human),PI3/PI4-kinase family,PIK3CG
1e90,O02697,PK3CG_PIG,"DOMAIN 34..141; /note=""PI3K-ABD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00877""; DOMAIN 217..309; /note=""PI3K-RBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00879""; DOMAIN 357..521; /note=""C2 PI3K-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00880""; DOMAIN 541..723; /note=""PIK helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00878""; DOMAIN 797..1080; /note=""PI3K/PI4K catalytic""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00269""",Sus scrofa (Pig),PI3/PI4-kinase family,PIK3CG
1e9h,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1e9h,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1eh4,P40233,CKI1_SCHPO,"DOMAIN 12..274; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",cki1 SPBC1347.06c
1f0q,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1f3m,Q13153,PAK1_HUMAN,"DOMAIN 75..88; /note=""CRIB""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00057""; DOMAIN 270..521; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",PAK1
1f5q,P89883,P89883_MHV68,"DOMAIN 54..138; /note=""CYCLIN""; /evidence=""ECO:0000259|SMART:SM00385""",Murid herpesvirus 4 (MuHV-4) (Murine gammaherpesvirus 68),Cyclin family,v-cyclin 72 GAMMAHV.ORF72
1f5q,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1fgi,P11362,FGFR1_HUMAN,"DOMAIN 25..119; /note=""Ig-like C2-type 1""; DOMAIN 158..246; /note=""Ig-like C2-type 2""; DOMAIN 255..357; /note=""Ig-like C2-type 3""; DOMAIN 478..767; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily",FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR
1fgk,P11362,FGFR1_HUMAN,"DOMAIN 25..119; /note=""Ig-like C2-type 1""; DOMAIN 158..246; /note=""Ig-like C2-type 2""; DOMAIN 255..357; /note=""Ig-like C2-type 3""; DOMAIN 478..767; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily",FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR
1fin,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1fin,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1fmk,P12931,SRC_HUMAN,"DOMAIN 84..145; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 151..248; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 270..523; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",SRC SRC1
1fpu,P00520,ABL1_MOUSE,"DOMAIN 61..121; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 127..217; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 242..493; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, Tyr protein kinase family, ABL subfamily",Abl1 Abl
1fq1,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1fq1,Q16667,CDKN3_HUMAN,"DOMAIN 33..201; /note=""Tyrosine-protein phosphatase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00160""",Homo sapiens (Human),Protein-tyrosine phosphatase family,CDKN3 CDI1 CIP2 KAP
1fvr,Q02763,TIE2_HUMAN,"DOMAIN 44..123; /note=""Ig-like C2-type 1""; DOMAIN 210..252; /note=""EGF-like 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 254..299; /note=""EGF-like 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 301..341; /note=""EGF-like 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 350..440; /note=""Ig-like C2-type 2""; DOMAIN 447..541; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 545..636; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 641..735; /note=""Fibronectin type-III 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 824..1096; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Tie subfamily",TEK TIE2 VMCM VMCM1
1fvt,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1fvv,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1fvv,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1g3n,Q98147,Q98147_HHV8,"DOMAIN 51..82; /note=""Cyclin N-terminal""; /evidence=""ECO:0000259|PROSITE:PS00292""",Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus),Cyclin family,
1g3n,P42773,CDN2C_HUMAN,,Homo sapiens (Human),CDKN2 cyclin-dependent kinase inhibitor family,CDKN2C CDKN6
1g3n,Q00534,CDK6_HUMAN,"DOMAIN 13..300; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK6 CDKN6
1g5s,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1gag,P06213,INSR_HUMAN,"DOMAIN 624..726; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 757..842; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 853..947; /note=""Fibronectin type-III 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 1023..1298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",INSR
1gih,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1gii,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1gij,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1gjo,P21802,FGFR2_HUMAN,"DOMAIN 25..125; /note=""Ig-like C2-type 1""; DOMAIN 154..247; /note=""Ig-like C2-type 2""; DOMAIN 256..358; /note=""Ig-like C2-type 3""; DOMAIN 481..770; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily",FGFR2 BEK KGFR KSAM
1gng,P49841,GSK3B_HUMAN,"DOMAIN 56..340; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",GSK3B
1gng,Q92837,FRAT1_HUMAN,,Homo sapiens (Human),GSK-3-binding protein family,FRAT1
1gol,P63086,MK01_RAT,"DOMAIN 23..311; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Rattus norvegicus (Rat),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Mapk1 Erk2 Mapk Prkm1
1gy3,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1gy3,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1gz8,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1gzk,P31751,AKT2_HUMAN,"DOMAIN 5..108; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 152..409; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 410..481; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Homo sapiens (Human),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily",AKT2
1gzn,P31751,AKT2_HUMAN,"DOMAIN 5..108; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 152..409; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 410..481; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Homo sapiens (Human),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily",AKT2
1gzo,P31751,AKT2_HUMAN,"DOMAIN 5..108; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 152..409; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 410..481; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Homo sapiens (Human),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily",AKT2
1h00,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h01,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h07,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h08,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h0v,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h0w,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h1p,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1h1p,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h1q,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1h1q,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h1r,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
