Entry,Entry Name,Domain [FT],Organism,Protein families,Gene Names
A1D2C9,HOG1_NEOFI,"DOMAIN 20..299; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus),"Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily. HOG1 sub-subfamily",hog1 NFIA_012610
A1D624,SSN3_NEOFI,"DOMAIN 41..368; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",ssn3 cdk8 NFIA_063290
A1DES4,MPKC_NEOFI,"DOMAIN 20..299; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus),"Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily. HOG1 sub-subfamily",mpkc NFIA_078210
A1IVT7,HOG1_BOTFB,"DOMAIN 20..299; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea),"Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily. HOG1 sub-subfamily",hog1 sak1 BC1G_03001
A1L1C7,PAN3_XENTR,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),"Protein kinase superfamily, PAN3 family",pan3 TEgg127h19.1
A1X150,MET_ECHTE,"DOMAIN 27..513; /note=""Sema""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00352""; DOMAIN 561..654; /note=""IPT/TIG 1""; DOMAIN 656..738; /note=""IPT/TIG 2""; DOMAIN 741..835; /note=""IPT/TIG 3""; DOMAIN 1077..1344; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Echinops telfairi (Lesser hedgehog tenrec),"Protein kinase superfamily, Tyr protein kinase family",MET
A1Y2K1,FYN_PIG,"DOMAIN 82..143; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 149..246; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 271..524; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Sus scrofa (Pig),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",FYN
A1Z7T0,PKN_DROME,"DOMAIN 28..102; /note=""REM-1 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 142..219; /note=""REM-1 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 242..322; /note=""REM-1 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 359..515; /note=""C2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00041""; DOMAIN 863..1122; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 1123..1190; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Drosophila melanogaster (Fruit fly),"Protein kinase superfamily, Ser/Thr protein kinase family",Pkn Dpkn CG2049
A1Z9X0,APKC_DROME,"DOMAIN 30..113; /note=""PB1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01081""; DOMAIN 264..532; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 533..604; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Drosophila melanogaster (Fruit fly),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",aPKC CG30475
A2AQW0,M3K15_MOUSE,"DOMAIN 656..912; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Map3k15
A2BD05,NEK6_PIG,"DOMAIN 45..310; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Sus scrofa (Pig),"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily",NEK6
A2CI34,DUSTY_PIMPR,"DOMAIN 627..881; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Pimephales promelas (Fathead minnow),"Protein kinase superfamily, Ser/Thr protein kinase family",dstyk ripk5
A2CI35,DUSTY_STRPU,"DOMAIN 665..926; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Strongylocentrotus purpuratus (Purple sea urchin),"Protein kinase superfamily, Ser/Thr protein kinase family",DSTYK RIPK5
A2QHV0,SEPH_ASPNC,"DOMAIN 59..309; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Aspergillus niger (strain CBS 513.88 / FGSC A1513),"Protein kinase superfamily, Ser/Thr protein kinase family, CDC7 subfamily",sepH An04g01130
A2QN07,MPKC_ASPNC,"DOMAIN 20..299; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Aspergillus niger (strain CBS 513.88 / FGSC A1513),"Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily. HOG1 sub-subfamily",mpkC An07g03980
A2QRF6,HOG1_ASPNC,"DOMAIN 20..299; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Aspergillus niger (strain CBS 513.88 / FGSC A1513),"Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily. HOG1 sub-subfamily",hog1 An08g05850
A2QU77,SSN3_ASPNC,"DOMAIN 40..369; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Aspergillus niger (strain CBS 513.88 / FGSC A1513),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",ssn3 cdk8 An09g04660
A2VDU3,M3K7_BOVIN,"DOMAIN 36..291; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Bos taurus (Bovine),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",MAP3K7
A2VDV2,STK38_BOVIN,"DOMAIN 89..382; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 383..455; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Bos taurus (Bovine),"Protein kinase superfamily, AGC Ser/Thr protein kinase family",STK38
A2VDZ4,PLK4_BOVIN,"DOMAIN 12..265; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 509..622; /note=""Cryptic POLO box 1 (CPB1)""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01328""; DOMAIN 623..736; /note=""Cryptic POLO box 2 (CPB2)""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01329""; DOMAIN 815..879; /note=""POLO box""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00154""",Bos taurus (Bovine),"Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily",PLK4 SAK
A2X0M1,MPK13_ORYSI,"DOMAIN 13..304; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Oryza sativa subsp. indica (Rice),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MPK13 BIMK2 BWMK2 MAPK2 MPK17-2 OsI_005614
A2X6X1,CDKG1_ORYSI,"DOMAIN 349..640; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Oryza sativa subsp. indica (Rice),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDKG-1 OsI_007814
A2XFC8,MPK5_ORYSI,"DOMAIN 36..322; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Oryza sativa subsp. indica (Rice),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MPK5 BIMK1 MAPK2 MAPK5 MPK3 MSRMK2 OsI_010771
A2XFF4,OSK3_ORYSI,"DOMAIN 17..269; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 290..330; /note=""UBA""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00212""; DOMAIN 459..507; /note=""KA1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00565""",Oryza sativa subsp. indica (Rice),"Protein kinase superfamily, Ser/Thr protein kinase family",OSK3 OsI_11096
A2XUW1,CDKG2_ORYSI,"DOMAIN 365..656; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Oryza sativa subsp. indica (Rice),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDKG-2 OsI_015854
A2Y4B6,CDKD1_ORYSI,"DOMAIN 19..299; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Oryza sativa subsp. indica (Rice),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDKD-1 R2 OsI_019159
A2YBX5,G11A_ORYSI,"DOMAIN 195..533; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Oryza sativa subsp. indica (Rice),"Protein kinase superfamily, Ser/Thr protein kinase family",OsI_021818
A2YCH5,CDKF1_ORYSI,"DOMAIN 24..419; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Oryza sativa subsp. indica (Rice),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDKF-1 OsI_022018
A2YMV6,WNK1_ORYSI,"DOMAIN 27..284; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Oryza sativa subsp. indica (Rice),"Protein kinase superfamily, Ser/Thr protein kinase family, WNK subfamily",WNK1 MEK1 OsI_025649
A2YNT8,SAPK2_ORYSI,"DOMAIN 4..260; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Oryza sativa subsp. indica (Rice),"Protein kinase superfamily, Ser/Thr protein kinase family",SAPK2 OsI_26911
A2ZAB5,SAPK3_ORYSI,"DOMAIN 5..261; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Oryza sativa subsp. indica (Rice),"Protein kinase superfamily, Ser/Thr protein kinase family",SAPK3 REK OsI_34678
A2ZMH2,NEK2_ORYSI,"DOMAIN 4..258; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Oryza sativa subsp. indica (Rice),"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily",NEK2 OsI_037765
A2ZVI7,CDPK1_ORYSJ,"DOMAIN 66..324; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 367..402; /note=""EF-hand 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 403..438; /note=""EF-hand 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 439..474; /note=""EF-hand 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 475..509; /note=""EF-hand 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""",Oryza sativa subsp. japonica (Rice),"Protein kinase superfamily, Ser/Thr protein kinase family, CDPK subfamily",CPK1 Os01g0622600 LOC_Os01g43410 OsJ_02652 P0501G01.10
A3B529,CIPKS_ORYSJ,"DOMAIN 11..265; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 283..329; /note=""NAF""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00256""",Oryza sativa subsp. japonica (Rice),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",CIPK28 Os05g0476350 LOC_Os05g39870 OsJ_018151
A3EZ53,HOG1_WALMU,"DOMAIN <1..234; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Wallemia muriae,"Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily. HOG1 sub-subfamily",HOG1
A3EZ54,HOG1_WALSE,"DOMAIN <1..234; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Wallemia sebi,"Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily. HOG1 sub-subfamily",HOG1
A3EZ55,HOG1A_WALI9,"DOMAIN 24..303; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Wallemia ichthyophaga (strain EXF-994 / CBS 113033),"Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily. HOG1 sub-subfamily",HOG1A J056_003708
A3LN91,HOG1_PICST,"DOMAIN 23..305; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis),"Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily. HOG1 sub-subfamily",HOG1 PICST_54431
A3LUB9,SSN3_PICST,"DOMAIN 27..355; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",SSN3 CDK8 PICST_89025
A4IFM7,MYLK2_BOVIN,"DOMAIN 312..567; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Bos taurus (Bovine),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",MYLK2
A4IGM9,AURKB_XENTR,"DOMAIN 93..343; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),"Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily",aurkb airk2
A4IIW7,CDK14_XENTR,"DOMAIN 89..373; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",cdk14 pftk1
A4K2M3,STK4_PAPAN,"DOMAIN 30..281; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 433..480; /note=""SARAH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00310""",Papio anubis (Olive baboon),"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",STK4
